Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto
84;-0,095946;0,084040;0,137629;4,599238;6115,383692;-8134815239,517752;0,002934;0,040000;0,864557;0,052329;0,085299;0,674740;0,454311;0,100290;0,015000;0,002273;0,001253
85;-0,029402;0,059170;0,099638;4,721092;6419,130559;-9261984355,840124;0,002609;0,040000;1,252952;0,034486;0,065152;0,633562;0,333333;0,060829;0,011667;0,001364;0,001250
86;-0,047377;0,064720;0,110518;4,682038;6317,246529;-8904173325,202990;0,002987;0,040000;1,125497;0,035330;0,075189;0,622837;0,371648;0,072289;0,010033;0,001818;0,002500
87;-0,058844;0,070040;0,118937;4,669761;6258,300728;-8847224727,296282;0,001960;0,040000;1,089118;0,040954;0,077983;0,602787;0,410191;0,078777;0,010000;0,002273;0,001250
88;-0,044155;0,065210;0,110262;4,699526;6324,990279;-9163706965,781218;0,002185;0,040000;1,192902;0,038028;0,072233;0,637931;0,390089;0,064567;0,003333;0,000909;0,005000
89;-0,116064;0,091030;0,149404;4,559459;6058,679026;-7701289810,867448;0,004140;0,040000;0,746402;0,058954;0,090450;0,614583;0,491580;0,117713;0,021703;0,000455;0,003750
90;-0,027652;0,059520;0,102041;4,730661;6422,874552;-9446378679,480127;0,003320;0,040000;1,300844;0,034483;0,067558;0,571429;0,367684;0,059701;0,005000;0,000909;0,000000
91;-0,150302;0,127420;0,185481;4,526487;5934,712281;-7502394494,050326;0,004561;0,040000;0,667459;0,070073;0,115408;0,684932;0,558366;0,169761;0,020033;0,001364;0,002500
92;-0,089594;0,081790;0,137128;4,611060;6135,320253;-8301453428,640502;0,004394;0,040000;0,906990;0,048766;0,088363;0,670175;0,446658;0,103210;0,016694;0,000910;0,000000
93;-0,038619;0,063780;0,108731;4,712152;6353,615975;-9286508907,047280;0,002969;0,040000;1,234226;0,036713;0,072018;0,601375;0,382166;0,064480;0,010017;0,003636;0,003750
94;-0,105940;0,087820;0,145663;4,585917;6079,434638;-8053851454,897261;0,002379;0,040000;0,827657;0,057621;0,088043;0,644599;0,468290;0,114930;0,010017;0,004093;0,000000
95;-0,068756;0,072380;0,120907;4,642355;6225,341333;-8495137293,691079;0,002668;0,040000;0,990272;0,041914;0,078992;0,614583;0,398202;0,087927;0,005008;0,002273;0,001250
96;-0,137169;0,102560;0,171429;4,535518;5985,966885;-7541726648,380323;0,005158;0,040000;0,684688;0,068753;0,102675;0,684028;0,504207;0,156907;0,023411;0,001364;0,003750
97;-0,075747;0,076350;0,128938;4,640996;6187,193134;-8588827267,610281;0,002986;0,040000;0,989836;0,046603;0,082335;0,628472;0,439771;0,089732;0,005000;0,001819;0,001252
98;-0,044039;0,063330;0,108532;4,694020;6340,953498;-9023507251,079070;0,001847;0,040000;1,158238;0,038187;0,070345;0,518771;0,376590;0,072671;0,010000;0,001818;0,000000
99;-0,138252;0,104090;0,172097;4,537875;5980,629413;-7624287305,894511;0,004681;0,040000;0,694122;0,069908;0,102189;0,665505;0,515756;0,153743;0,025084;0,003640;0,002500
100;-0,119577;0,094310;0,154219;4,560670;6040,086796;-7805580315,302700;0,003728;0,040000;0,758065;0,061768;0,092451;0,678445;0,481959;0,127431;0,025000;0,000455;0,002500
