Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto
22;0,364919;0,070390;0,097224;5,453229;8207,141041;-2677010998,907523;0,004900;0,250000;9,964112;0,056436;0,040787;0,754513;0,188175;0,092559;0,043406;0,005007;0,010038
23;0,334939;0,082120;0,120472;5,410845;8064,277132;-38574438,544111;0,002414;0,250000;8,315038;0,062557;0,057915;0,857143;0,261284;0,111733;0,035235;0,008644;0,005013
24;0,337444;0,080590;0,120565;5,411941;8082,722233;-6820408,175662;0,004272;0,250000;8,288826;0,060383;0,060181;0,832753;0,256508;0,115445;0,030050;0,004091;0,013784
25;0,341277;0,079100;0,115326;5,417143;8095,832988;-470154882,694968;0,003340;0,250000;8,555984;0,060841;0,054485;0,822695;0,256345;0,107399;0,018456;0,005912;0,005013
26;0,363787;0,070720;0,100666;5,449153;8206,494820;-2283331479,983868;0,005012;0,250000;9,751833;0,054771;0,045895;0,797101;0,195693;0,095206;0,033389;0,005462;0,015019
27;0,376004;0,066160;0,093574;5,469868;8265,846594;-4176790925,255437;0,003334;0,250000;10,777481;0,053384;0,040189;0,748227;0,195214;0,084043;0,023451;0,005912;0,007500
28;0,332544;0,083180;0,126915;5,407399;8051,106139;41839496,708209;0,004711;0,250000;8,221115;0,060887;0,066028;0,849123;0,296460;0,113178;0,036789;0,005923;0,010025
29;0,340133;0,079500;0,124270;5,416981;8096,102148;-338634769,085718;0,002703;0,250000;8,461620;0,058261;0,066009;0,829352;0,294304;0,110763;0,021667;0,006372;0,006258
30;0,318622;0,088460;0,135108;5,387175;7995,335069;1484930935,843828;0,002425;0,250000;7,402924;0,065840;0,069268;0,832740;0,306717;0,129567;0,023411;0,008636;0,013750
31;0,338520;0,080610;0,121710;5,412813;8082,672395;-27056109,018630;0,004013;0,250000;8,356540;0,058284;0,063426;0,830389;0,260456;0,116540;0,026846;0,006369;0,013750
32;0,292541;0,098390;0,149788;5,348095;7893,459499;3648157684,426313;0,002257;0,250000;6,188376;0,074440;0,075348;0,869258;0,336728;0,149351;0,036975;0,007273;0,006258
33;0,333876;0,082510;0,127471;5,405392;8059,635378;374698177,138897;0,002626;0,250000;8,128428;0,058088;0,069383;0,805054;0,295944;0,118674;0,038462;0,006824;0,007509
34;0,352562;0,074770;0,109800;5,433178;8152,834547;-1459276928,711655;0,003281;0,250000;9,167936;0,057169;0,052632;0,802867;0,221659;0,107775;0,036728;0,004548;0,002503
35;0,331925;0,084190;0,124987;5,413125;8052,879605;-44036973,916631;0,003786;0,250000;8,262986;0,065618;0,059369;0,828671;0,262991;0,119650;0,046901;0,009554;0,006258
36;0,360725;0,072590;0,105735;5,449233;8186,478418;-2628052974,757466;0,006672;0,250000;9,827720;0,055640;0,050096;0,810526;0,222433;0,096753;0,028476;0,006367;0,005019
37;0,332897;0,083150;0,123499;5,407450;8057,779337;281878725,702596;0,005297;0,250000;8,142630;0,061951;0,061548;0,822695;0,273825;0,116289;0,036728;0,006827;0,006281
38;0,313612;0,090470;0,138741;5,381978;7977,078290;1827547978,989937;0,002357;0,250000;7,197217;0,068413;0,070327;0,835088;0,321701;0,131573;0,040201;0,005457;0,010013
39;0,316233;0,089240;0,134241;5,383344;7984,340321;1615843095,367537;0,003555;0,250000;7,326008;0,067474;0,066768;0,831579;0,312341;0,125783;0,028476;0,005923;0,013784
40;0,357956;0,072250;0,105624;5,439193;8179,448973;-1815485921,768417;0,004678;0,250000;9,382865;0,055332;0,050292;0,807143;0,239848;0,089873;0,035000;0,006824;0,007547
41;0,353374;0,074870;0,111928;5,436182;8155,131242;-1664553763,958998;0,005401;0,250000;9,247963;0,056216;0,055712;0,792388;0,257778;0,098276;0,021739;0,007731;0,008772
42;0,345930;0,077620;0,112837;5,424932;8125,381807;-712116063,761785;0,003122;0,250000;8,741955;0,060300;0,052536;0,791519;0,232132;0,109764;0,040067;0,004548;0,006250
43;0,351803;0,074710;0,115687;5,429876;8147,158982;-1267948463,919921;0,004289;0,250000;9,048677;0,053967;0,061720;0,820423;0,271229;0,101297;0,025000;0,005460;0,010000
44;0,349806;0,076880;0,111391;5,432738;8137,174432;-1199249544,180292;0,006647;0,250000;9,041714;0,058824;0,052568;0,781690;0,237700;0,104297;0,036789;0,006831;0,008750
45;0,326196;0,085510;0,130536;5,393872;8025,185401;1113623990,179709;0,004141;0,250000;7,685385;0,060627;0,069908;0,836879;0,286260;0,126092;0,040067;0,007283;0,006266
46;0,328020;0,084810;0,129751;5,398712;8033,167333;624754528,462099;0,003638;0,250000;7,897876;0,061498;0,068253;0,831579;0,301648;0,120179;0,035176;0,005457;0,006250
47;0,349646;0,076440;0,118654;5,428993;8132,343996;-1277067104,291839;0,004985;0,250000;9,040513;0,054190;0,064464;0,826241;0,273418;0,106640;0,035176;0,005462;0,003755
48;0,323696;0,087200;0,130926;5,397847;8017,259045;876824634,679599;0,005034;0,250000;7,748675;0,066068;0,064858;0,867596;0,286984;0,123291;0,031933;0,008652;0,011250
49;0,320434;0,088330;0,136854;5,393482;8000,360506;1018032434,601181;0,004689;0,250000;7,623736;0,065202;0,071652;0,856140;0,309930;0,130152;0,036789;0,006372;0,008772
50;0,368447;0,069330;0,097792;5,459236;8230,647992;-3227720161,906101;0,005068;0,250000;10,230861;0,055248;0,042545;0,779359;0,208993;0,085388;0,041806;0,004548;0,006250
51;0,333594;0,081980;0,122579;5,403208;8060,065370;358409058,450835;0,002168;0,250000;8,081450;0,060028;0,062550;0,838710;0,281270;0,111858;0,033445;0,006367;0,006250
52;0,329800;0,084030;0,126928;5,404732;8042,424593;230455878,141065;0,003816;0,250000;8,091706;0,063514;0,063414;0,828571;0,291324;0,119570;0,036913;0,003183;0,005006
53;0,336128;0,080850;0,120452;5,409353;8076,937983;169095386,267319;0,002856;0,250000;8,199043;0,061183;0,059268;0,824561;0,249045;0,117950;0,033389;0,005912;0,011250
54;0,344599;0,078370;0,116521;5,425285;8112,118865;-820169838,049975;0,003032;0,250000;8,778112;0,059369;0,057151;0,805654;0,254927;0,106088;0,036789;0,009095;0,013750
55;0,306086;0,093480;0,141085;5,370911;7945,809755;2384388989,449136;0,005482;0,250000;6,866700;0,071601;0,069484;0,872792;0,319620;0,134378;0,043697;0,005923;0,010025
56;0,342668;0,079450;0,121212;5,425582;8100,837340;-1103928431,505509;0,005174;0,250000;8,839553;0,060103;0,061109;0,808219;0,262825;0,115686;0,018395;0,005914;0,015056
57;0,294756;0,097910;0,148526;5,350553;7903,186448;3572907720,345936;0,003361;0,250000;6,255188;0,073203;0,075323;0,840426;0,322066;0,152725;0,041806;0,006824;0,010013
58;0,359466;0,072210;0,103480;5,442866;8180,111797;-2151223215,987933;0,003221;0,250000;9,613037;0,055774;0,047705;0,731183;0,209861;0,101345;0,033501;0,005914;0,006258
59;0,338414;0,079800;0,120125;5,411888;8087,751351;-27233531,834220;0,002632;0,250000;8,319693;0,059962;0,060163;0,842105;0,263959;0,111235;0,028523;0,008640;0,003755
60;0,348084;0,076430;0,117647;5,425600;8127,190340;-1015577535,016734;0,005205;0,250000;8,869448;0,054895;0,062752;0,811847;0,277743;0,102754;0,035058;0,005000;0,007519
61;0,355763;0,074210;0,106325;5,441775;8167,329630;-1909715201,344962;0,006992;0,250000;9,429060;0,058408;0,047917;0,798561;0,221093;0,099216;0,040067;0,006367;0,003759
62;0,324047;0,086230;0,130969;5,397043;8021,223837;740879578,066656;0,003698;0,250000;7,777935;0,065485;0,065485;0,837456;0,292249;0,127683;0,023333;0,005912;0,006266
63;0,320409;0,087460;0,130987;5,389127;8009,060449;1454701972,493258;0,002606;0,250000;7,444092;0,066452;0,064536;0,852113;0,289072;0,125308;0,030000;0,009554;0,005000
64;0,362539;0,071550;0,106085;5,449962;8190,802684;-2841777396,045205;0,003147;0,250000;9,976310;0,053395;0,052690;0,796429;0,243363;0,089953;0,031879;0,007273;0,010013
